Year,Location,"Families, total","Families with cars, total",FamCarOwnershipRates
2007,Copenhagen,316243,90187,28.51825969
2008,Copenhagen,320198,92952,29.02953797
2009,Copenhagen,325064,93922,28.89338715
2010,Copenhagen,330298,92857,28.11309787
2011,Copenhagen,336390,94032,27.95326853
2012,Copenhagen,340380,95257,27.98548681
2013,Copenhagen,345778,95330,27.56971236
2014,Copenhagen,350862,99711,28.41886554
2015,Copenhagen,356351,102526,28.77107122
2016,Copenhagen,363002,105149,28.96650707
2017,Copenhagen,368499,107727,29.23400064